1,394835.675701,5372356.658952
2,394841.675701,5372305.658952
3,394853.675701,5372476.658952
4,394859.675701,5372296.658952
5,394907.675701,5372608.658952
6,394910.675701,5372311.658952
7,394937.675701,5372641.658952
8,394952.675701,5372689.658952
9,394997.675701,5372551.658952
10,395051.675701,5372326.658952
11,395072.675701,5372347.658952
12,395078.675701,5372383.658952
13,395150.675701,5372932.658952
14,395408.675701,5373127.658952
15,395504.675701,5373169.658952
16,395594.675701,5372599.658952
17,395708.675701,5373202.658952
18,395840.675701,5373253.658952
19,395852.675701,5373250.658952
20,395909.675701,5373286.658952
21,395939.675701,5373010.658952
22,395972.675701,5373682.658952
23,395996.675701,5372725.658952
24,395996.675701,5373709.658952
25,396026.675701,5372806.658952
26,396029.675701,5372752.658952
27,396029.675701,5373316.658952
28,396035.675701,5372779.658952
29,396038.675701,5373724.658952
30,396071.675701,5373343.658952
31,396113.675701,5373325.658952
32,396200.675701,5373766.658952
33,396227.675701,5373763.658952
34,396257.675701,5373316.658952
35,396257.675701,5373781.658952
36,396266.675701,5373613.658952
37,396350.675701,5373424.658952
38,396386.675701,5373388.658952
39,396437.675701,5373835.658952
40,396458.675701,5373364.658952
41,396461.675701,5373310.658952
42,396476.675701,5373319.658952
43,396476.675701,5373340.658952
44,396491.675701,5373310.658952
45,396491.675701,5373832.658952
46,396527.675701,5373733.658952
47,396530.675701,5373856.658952
48,396548.675701,5373679.658952
49,396551.675701,5373703.658952
50,396581.675701,5373301.658952
51,396590.675701,5373562.658952
52,396596.675701,5373589.658952
53,396599.675701,5373508.658952
54,396602.675701,5373481.658952
55,396608.675701,5373526.658952
56,396608.675701,5373733.658952
57,396608.675701,5373871.658952
58,396611.675701,5373424.658952
59,396620.675701,5373307.658952
60,396620.675701,5373439.658952
61,396647.675701,5373283.658952
62,396656.675701,5373265.658952
63,396665.675701,5373112.658952
64,396671.675701,5374558.658952
65,396680.675701,5374579.658952
66,396683.675701,5373445.658952
67,396683.675701,5374519.658952
68,396686.675701,5373076.658952
69,396692.675701,5373307.658952
70,396710.675701,5373073.658952
71,396722.675701,5373628.658952
72,396737.675701,5374399.658952
73,396746.675701,5373892.658952
74,396749.675701,5373439.658952
75,396758.675701,5374372.658952
76,396761.675701,5373310.658952
77,396764.675701,5373790.658952
78,396767.675701,5373883.658952
79,396770.675701,5374321.658952
80,396776.675701,5373088.658952
81,396776.675701,5373550.658952
82,396779.675701,5373301.658952
83,396788.675701,5373808.658952
84,396794.675701,5373202.658952
85,396794.675701,5373898.658952
86,396806.675701,5373316.658952
87,396809.675701,5373172.658952
88,396827.675701,5373160.658952
89,396827.675701,5373682.658952
90,396836.675701,5373079.658952
91,396851.675701,5373475.658952
92,396866.675701,5373712.658952
93,396899.675701,5373166.658952
94,396899.675701,5373922.658952
95,396902.675701,5373595.658952
96,396902.675701,5374021.658952
97,396920.675701,5373133.658952
98,396920.675701,5373145.658952
99,396926.675701,5373481.658952
100,396950.675701,5373955.658952
101,396953.675701,5373955.658952
102,396983.675701,5373112.658952
103,397004.675701,5373616.658952
104,397007.675701,5373514.658952
105,397013.675701,5373352.658952
106,397013.675701,5373910.658952
107,397016.675701,5373766.658952
108,397022.675701,5374039.658952
109,397025.675701,5373883.658952
110,397031.675701,5373817.658952
111,397034.675701,5373718.658952
112,397034.675701,5373742.658952
114,397049.675701,5373568.658952
115,397049.675701,5374024.658952
116,397052.675701,5374108.658952
117,397052.675701,5374588.658952
118,397067.675701,5373559.658952
119,397076.675701,5373370.658952
